QUANTIFIER,REAL_PREVS,PRED_PREVS,BATCH_SIZE,ae,nae
CC,[0. 1.],[0. 1.],10,0.0,0.0
PCC,[0. 1.],[0.167 0.833],10,0.16698606707825792,0.08349651662425428
EMQ,[0. 1.],[0.5799388 0.4200612],10,0.5798904192371408,0.2899573052845676
FM,[0. 1.],[0.83097153 0.16902847],10,0.8309021966964938,0.4154684297527919
GAC,[0. 1.],[1. 0.],10,0.9999165693308859,0.4999791414626006
GPAC,[0. 1.],[1. 0.],10,0.9999165693308859,0.4999791414626006
PWK,[0. 1.],[0.1 0.9],10,0.09999165693308852,0.04999791414626002
ACC,[0. 1.],[1. 0.],10,0.9999165693308859,0.4999791414626006
MAX,[0. 1.],[0.07073202 0.92926798],10,0.07072612190615263,0.03536453619653521
MS,[0. 1.],[0. 1.],10,0.0,0.0
MS2,[0. 1.],[0.17152965 0.82847035],10,0.17151534071914426,0.08576124791872108
PACC,[0. 1.],[0.73556855 0.26443145],10,0.7355071813730086,0.36776893229055446
T50,[0. 1.],[0. 1.],10,0.0,0.0
X_method,[0. 1.],[0. 1.],10,0.0,0.0
DyS,[0. 1.],[0.03210466 0.96789534],10,0.03210198085413356,0.01605166002743502
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],10,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0.04 0.96],10,0.0399966627732354,0.019999165658504008
SMM,[0. 1.],[0. 1.],10,0.0,0.0
SORD,[0. 1.],[0. 1.],10,0.0,0.0
HDx,[0. 1.],[0. 1.],10,0.0,0.0
CC,[0. 1.],[0.03333333 0.96666667],30,0.033330552311029486,0.016665971382086663
PCC,[0. 1.],[0.16966667 0.83033333],30,0.1696525112631403,0.08482979433482123
EMQ,[0. 1.],[4.78421873e-04 9.99521578e-01],30,0.0004783819581790329,0.0002392009574374823
FM,[0. 1.],[0.70426371 0.29573629],30,0.7042049489922793,0.352117163181405
GAC,[0. 1.],[0.12796224 0.87203776],30,0.1279515607825596,0.06397844927369568
GPAC,[0. 1.],[1. 0.],30,0.9999165693308859,0.4999791414626006
PWK,[0. 1.],[0.06666667 0.93333333],30,0.06666110462205903,0.03333194276417335
ACC,[0. 1.],[0. 1.],30,0.0,0.0
MAX,[0. 1.],[0. 1.],30,0.0,0.0
MS,[0. 1.],[0. 1.],30,0.0,0.0
MS2,[0. 1.],[0.04439933 0.95560067],30,0.044395626317406484,0.02219873918653515
PACC,[0. 1.],[0.74904225 0.25095775],30,0.7489797603358259,0.3745055027902553
T50,[0. 1.],[0. 1.],30,0.0,0.0
X_method,[0. 1.],[0.07073202 0.92926798],30,0.07072612190615263,0.03536453619653521
DyS,[0. 1.],[4.45523940e-05 9.99955448e-01],30,4.454867701157418e-05,2.227526772603263e-05
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],30,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0. 1.],30,0.0,0.0
SMM,[0. 1.],[0. 1.],30,0.0,0.0
SORD,[0. 1.],[0. 1.],30,0.0,0.0
HDx,[0. 1.],[0. 1.],30,0.0,0.0
CC,[0. 1.],[0.06 0.94],50,0.05999499415985313,0.029998748487756022
PCC,[0. 1.],[0.1628 0.8372],50,0.16278641748706824,0.08139660423011139
EMQ,[0. 1.],[0.09755033 0.90244967],50,0.09754219350076515,0.048773131337873726
FM,[0. 1.],[0.37482725 0.62517275],50,0.374795981702411,0.18740580854720698
GAC,[0. 1.],[0.75007773 0.24992227],50,0.7500151487704534,0.3750232186042574
GPAC,[0. 1.],[0. 1.],50,0.0,0.0
PWK,[0. 1.],[0.02 0.98],50,0.01999833138661769,0.009999582829251999
ACC,[0. 1.],[0.25346121 0.74653879],50,0.25344006479399717,0.12672531878606857
MAX,[0. 1.],[0. 1.],50,0.0,0.0
MS,[0. 1.],[0. 1.],50,0.0,0.0
MS2,[0. 1.],[0.09525146 0.90474854],50,0.0952435120781015,0.04762374267940948
PACC,[0. 1.],[0.95923202 0.04076798],50,0.9591519921557743,0.4795960025855872
T50,[0. 1.],[0. 1.],50,0.0,0.0
X_method,[0. 1.],[0. 1.],50,0.0,0.0
DyS,[0. 1.],[4.45523940e-05 9.99955448e-01],50,4.454867701157418e-05,2.227526772603263e-05
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],50,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0. 1.],50,0.0,0.0
SMM,[0. 1.],[0.10698259 0.89301741],50,0.10697366437837003,0.053489063503364194
SORD,[0. 1.],[0.45 0.55],50,0.44996245619889863,0.22499061365817025
HDx,[0. 1.],[0. 1.],50,0.0,0.0
CC,[0. 1.],[0. 1.],70,0.0,0.0
PCC,[0. 1.],[0.16528571 0.83471429],70,0.1652719243879764,0.08263940952460411
EMQ,[0. 1.],[0.34458617 0.65541383],70,0.34455742167253045,0.1722858978001314
FM,[0. 1.],[0.23364017 0.76635983],70,0.23362068038680045,0.11681521317909933
GAC,[0. 1.],[0. 1.],70,0.0,0.0
GPAC,[0. 1.],[0. 1.],70,0.0,0.0
PWK,[0. 1.],[0.02857143 0.97142857],70,0.02856904483802528,0.014285118327502858
ACC,[0. 1.],[0.09947603 0.90052397],70,0.09946773379037116,0.04973594164663088
MAX,[0. 1.],[0. 1.],70,0.0,0.0
MS,[0. 1.],[0. 1.],70,0.0,0.0
MS2,[0. 1.],[0.11704523 0.88295477],70,0.11703546311839925,0.058520172747784135
PACC,[0. 1.],[1. 0.],70,0.9999165693308859,0.4999791414626006
T50,[0. 1.],[0.13187888 0.86812112],70,0.13186787329582378,0.0659366872188788
X_method,[0. 1.],[0. 1.],70,0.0,0.0
DyS,[0. 1.],[0.16713553 0.83286447],70,0.1671215889876942,0.08356428040576123
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],70,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0.04 0.96],70,0.0399966627732354,0.019999165658504008
SMM,[0. 1.],[0. 1.],70,0.0,0.0
SORD,[0. 1.],[0. 1.],70,0.0,0.0
HDx,[0. 1.],[0.05 0.95],70,0.04999582846654431,0.024998957073130035
CC,[0. 1.],[0.01111111 0.98888889],90,0.011110184103676441,0.005555323794028861
PCC,[0. 1.],[0.17655556 0.82344444],90,0.17654082540741972,0.08827409508711914
EMQ,[0. 1.],[0.16334319 0.83665681],90,0.1633295619155431,0.08166818777354719
FM,[0. 1.],[0. 1.],90,0.0,0.0
GAC,[0. 1.],[0.12796224 0.87203776],90,0.1279515607825596,0.06397844927369568
GPAC,[0. 1.],[0. 1.],90,0.0,0.0
PWK,[0. 1.],[0.02222222 0.97777778],90,0.02222036820735299,0.011110647588057776
ACC,[0. 1.],[0. 1.],90,0.0,0.0
MAX,[0. 1.],[0. 1.],90,0.0,0.0
MS,[0. 1.],[0.01392871 0.98607129],90,0.01392754989946826,0.006964065458054589
MS2,[0. 1.],[0.2562832 0.7437168],90,0.2562618169869695,0.1281362537401784
PACC,[0. 1.],[1. 0.],90,0.9999165693308859,0.4999791414626006
T50,[0. 1.],[0. 1.],90,0.0,0.0
X_method,[0. 1.],[0. 1.],90,0.0,0.0
DyS,[0. 1.],[4.45523940e-05 9.99955448e-01],90,4.454867701157418e-05,2.227526772603263e-05
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],90,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0. 1.],90,0.0,0.0
SMM,[0. 1.],[0. 1.],90,0.0,0.0
SORD,[0. 1.],[0. 1.],90,0.0,0.0
HDx,[0. 1.],[0. 1.],90,0.0,0.0
CC,[0. 1.],[0.03636364 0.96363636],110,0.036360602521123095,0.018181059689549098
PCC,[0. 1.],[0.16181818 0.83818182],110,0.16180468121899783,0.08090571561849351
EMQ,[0. 1.],[0.08908651 0.91091349],110,0.0890790750904389,0.044541395604438726
FM,[0. 1.],[0.07073202 0.92926798],110,0.07072612207149759,0.035364536279211135
GAC,[0. 1.],[0.04716802 0.95283198],110,0.047164082140411054,0.023583024843976758
GPAC,[0. 1.],[0.0527422 0.9472578],110,0.05273780198789629,0.026370001027363272
PWK,[0. 1.],[0.03636364 0.96363636],110,0.036360602521123095,0.018181059689549098
ACC,[0. 1.],[0. 1.],110,0.0,0.0
MAX,[0. 1.],[0.00161948 0.99838052],110,0.0016193407064868618,0.0008097041303221195
MS,[0. 1.],[0.32695414 0.67304586],110,0.3269268591366357,0.16347024878443603
MS2,[0. 1.],[0. 1.],110,0.0,0.0
PACC,[0. 1.],[1. 0.],110,0.9999165693308859,0.4999791414626006
T50,[0. 1.],[0. 1.],110,0.0,0.0
X_method,[0. 1.],[0. 1.],110,0.0,0.0
DyS,[0. 1.],[4.45523940e-05 9.99955448e-01],110,4.454867701157418e-05,2.227526772603263e-05
DySsyn,[0. 1.],[4.45523940e-05 9.99955448e-01],110,4.454867701157418e-05,2.227526772603263e-05
HDy,[0. 1.],[0.05 0.95],110,0.04999582846654431,0.024998957073130035
SMM,[0. 1.],[0. 1.],110,0.0,0.0
SORD,[0. 1.],[0.06 0.94],110,0.05999499415985304,0.02999874848775598
HDx,[0. 1.],[0. 1.],110,0.0,0.0
CC,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
PCC,[0.11111111 0.88888889],[0.189 0.811],10,0.07788239056677236,0.04381044381521519
EMQ,[0.11111111 0.88888889],[0.61271534 0.38728466],10,0.5015623793587956,0.2821391367267427
FM,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[1. 0.],10,0.8888147282941208,0.4999765342677909
GPAC,[0.11111111 0.88888889],[1. 0.],10,0.8888147282941208,0.4999765342677909
PWK,[0.11111111 0.88888889],[1.],10,0.5,0.28126026625784145
ACC,[0.11111111 0.88888889],[1. 0.],10,0.8888147282941208,0.4999765342677909
MAX,[0.11111111 0.88888889],[0.07073202 0.92926798],10,0.040375719130612435,0.022712171026055755
MS,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
MS2,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[1. 0.],10,0.8888147282941208,0.4999765342677909
T50,[0.11111111 0.88888889],[0.37220832 0.62779168],10,0.26107542419709917,0.14686028664611003
X_method,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
DyS,[0.11111111 0.88888889],[0.66486727 0.33513273],10,0.5537099538536641,0.3114732181009973
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],10,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.33 0.67],10,0.2188706268424272,0.12311922156344347
SMM,[0.11111111 0.88888889],[0.47838986 0.52161014],10,0.3672481026344767,0.20658459825932002
SORD,[0.11111111 0.88888889],[0. 1.],10,0.11110184103676507,0.062497066783473845
HDx,[0.11111111 0.88888889],[0.93 0.07],10,0.8188205684409589,0.4606033821942024
CC,[0.11111111 0.88888889],[0.03333333 0.96666667],30,0.07777128872573558,0.04374794674843171
PCC,[0.11111111 0.88888889],[0.181 0.819],30,0.06988305801212524,0.039310655006805056
EMQ,[0.11111111 0.88888889],[0.00843789 0.99156211],30,0.10266465478107982,0.05775097627799178
FM,[0.11111111 0.88888889],[0. 1.],30,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[1. 0.],30,0.8888147282941208,0.4999765342677909
GPAC,[0.11111111 0.88888889],[0.55432165 0.44567835],30,0.4431735647405869,0.24929422963474843
PWK,[0.11111111 0.88888889],[0.06666667 0.93333333],30,0.044440736414706035,0.02499882671338954
ACC,[0.11111111 0.88888889],[0. 1.],30,0.11110184103676507,0.062497066783473845
MAX,[0.11111111 0.88888889],[0.3241447 0.6758553],30,0.21301581193482855,0.11982576796384033
MS,[0.11111111 0.88888889],[0.16363652 0.83636348],30,0.052521030671783236,0.02954415814176402
MS2,[0.11111111 0.88888889],[0. 1.],30,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[0.91072669 0.08927331],30,0.7995488668528681,0.4497626543543862
T50,[0.11111111 0.88888889],[0. 1.],30,0.11110184103676507,0.062497066783473845
X_method,[0.11111111 0.88888889],[0.45085103 0.54914897],30,0.3397115774675491,0.1910947374587884
DyS,[0.11111111 0.88888889],[8.88959487e-04 9.99111041e-01],30,0.11021295571576784,0.0619970505393611
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],30,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.025 0.975],30,0.08610392680349296,0.04843522675719225
SMM,[0.11111111 0.88888889],[0.40850139 0.59149861],30,0.2973654694342053,0.1672741822179052
SORD,[0.11111111 0.88888889],[0.21 0.79],30,0.0988806385227209,0.05562238943729171
HDx,[0.11111111 0.88888889],[0.51 0.49],30,0.3988556093219867,0.22436446975267116
CC,[0.11111111 0.88888889],[0.02 0.98],50,0.09110350965014737,0.051247594762448556
PCC,[0.11111111 0.88888889],[0.2184 0.7816],50,0.10727993770510043,0.06034716768612239
EMQ,[0.11111111 0.88888889],[0.45611713 0.54388287],50,0.34497723139579356,0.19405677591054776
FM,[0.11111111 0.88888889],[0.45085103 0.54914897],50,0.3397115779156125,0.19109473771083327
GAC,[0.11111111 0.88888889],[0.4834568 0.5165432],50,0.3723146266378551,0.20943462203970392
GPAC,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
PWK,[0.11111111 0.88888889],[0.12 0.88],50,0.008888147282941197,0.004999765342677903
ACC,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
MAX,[0.11111111 0.88888889],[0.22277963 0.77722037],50,0.1116591995086519,0.06281059236788175
MS,[0.11111111 0.88888889],[0.25346121 0.74653879],50,0.14233822375723215,0.08006817342525466
MS2,[0.11111111 0.88888889],[0.40036423 0.59963577],50,0.2892289856055068,0.16269724300178048
PACC,[0.11111111 0.88888889],[1. 0.],50,0.8888147282941208,0.4999765342677909
T50,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
X_method,[0.11111111 0.88888889],[0.22277963 0.77722037],50,0.1116591995086519,0.06281059236788175
DyS,[0.11111111 0.88888889],[0.03877899 0.96122101],50,0.07232609096416932,0.04068491120394225
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],50,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
SMM,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
SORD,[0.11111111 0.88888889],[0.07 0.93],50,0.04110768118360316,0.023123914709885368
HDx,[0.11111111 0.88888889],[0. 1.],50,0.11110184103676507,0.062497066783473845
CC,[0.11111111 0.88888889],[0.07142857 0.92857143],70,0.03967922894170183,0.022320380994097812
PCC,[0.11111111 0.88888889],[0.19857143 0.80142857],70,0.0874530205875108,0.04919411971099156
EMQ,[0.11111111 0.88888889],[0.17607967 0.82392033],70,0.0649631386607901,0.036543099353357804
FM,[0.11111111 0.88888889],[1.66533454e-16 1.00000000e+00],70,0.11110184103676499,0.0624970667834738
GAC,[0.11111111 0.88888889],[0.4453681 0.5546319],70,0.33422910083186985,0.1880107317821813
GPAC,[0.11111111 0.88888889],[0.25116924 0.74883076],70,0.14004644213131334,0.07877899920463316
PWK,[0.11111111 0.88888889],[1.],70,0.5,0.28126026625784145
ACC,[0.11111111 0.88888889],[0. 1.],70,0.11110184103676507,0.062497066783473845
MAX,[0.11111111 0.88888889],[0.3422456 0.6577544],70,0.23111520701093152,0.1300070493202615
MS,[0.11111111 0.88888889],[0.09947603 0.90052397],70,0.01163410724639391,0.006544424203586068
MS2,[0.11111111 0.88888889],[0. 1.],70,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[0.97039595 0.02960405],70,0.8592131451167703,0.48332503593556037
T50,[0.11111111 0.88888889],[0.2520436 0.7479564],70,0.14092072822807905,0.07927080308535686
X_method,[0.11111111 0.88888889],[0.6680619 0.3319381],70,0.5569043183807845,0.3132701137358423
DyS,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],70,0.11105729235975348,0.06247200723795841
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],70,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.07 0.93],70,0.04110768118360316,0.023123914709885368
SMM,[0.11111111 0.88888889],[0.31008702 0.68991298],70,0.19895931247871967,0.11191869840448355
SORD,[0.11111111 0.88888889],[0.13 0.87],70,0.018887312976250042,0.010624501353190543
HDx,[0.11111111 0.88888889],[0.45 0.55],70,0.33886061516213356,0.19061605368959528
CC,[0.11111111 0.88888889],[0.03333333 0.96666667],90,0.07777128872573558,0.04374794674843171
PCC,[0.11111111 0.88888889],[0.15377778 0.84622222],90,0.0426631069581178,0.023998873644853962
EMQ,[0.11111111 0.88888889],[0.33430048 0.66569952],90,0.22317075096570027,0.12553812967515057
FM,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[0.27608497 0.72391503],90,0.16496009744585916,0.09279344185908364
GPAC,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
PWK,[0.11111111 0.88888889],[0.03333333 0.96666667],90,0.07777128872573558,0.04374794674843171
ACC,[0.11111111 0.88888889],[0.46305215 0.53694785],90,0.35191167428994485,0.19795754242006536
MAX,[0.11111111 0.88888889],[0.28190925 0.71809075],90,0.17078389009058859,0.09606944479885776
MS,[0.11111111 0.88888889],[0.16363652 0.83636348],90,0.052521030671783236,0.02954415814176402
MS2,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[1. 0.],90,0.8888147282941208,0.4999765342677909
T50,[0.11111111 0.88888889],[0.18528542 0.81471458],90,0.07416811935640112,0.04172108999604949
X_method,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
DyS,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],90,0.11105729235975348,0.06247200723795841
DySsyn,[0.11111111 0.88888889],[0.00234022 0.99765978],90,0.10876181736576829,0.06118075542196543
HDy,[0.11111111 0.88888889],[0.125 0.875],90,0.01388773012959564,0.007812133347934234
SMM,[0.11111111 0.88888889],[0.05351237 0.94648763],90,0.05759393729733277,0.032397772278170485
SORD,[0.11111111 0.88888889],[0.07 0.93],90,0.04110768118360316,0.023123914709885368
HDx,[0.11111111 0.88888889],[0. 1.],90,0.11110184103676507,0.062497066783473845
CC,[0.11111111 0.88888889],[0.04545455 0.95454545],110,0.06565108788536121,0.03693008491750729
PCC,[0.11111111 0.88888889],[0.16790909 0.83209091],110,0.05679324110452093,0.03194736422940669
EMQ,[0.11111111 0.88888889],[0.11062323 0.88937677],110,0.00048783763240776296,0.0002744186847632048
FM,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
GAC,[0.11111111 0.88888889],[0.16835935 0.83164065],110,0.05724345909422371,0.03220062109272243
GPAC,[0.11111111 0.88888889],[0.39998951 0.60001049],110,0.2888543025352065,0.16248647608155053
PWK,[0.11111111 0.88888889],[0.05454545 0.94545455],110,0.05656093725508039,0.03181668854431395
ACC,[0.11111111 0.88888889],[0.32695414 0.67304586],110,0.21582501809987065,0.12140600411174615
MAX,[0.11111111 0.88888889],[0.00161948 0.99838052],110,0.1094825003302782,0.06158615438693653
MS,[0.11111111 0.88888889],[0.20446593 0.79553407],110,0.09334702752880551,0.05250961963425979
MS2,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
PACC,[0.11111111 0.88888889],[0.82498494 0.17501506],110,0.7138142734531221,0.4015351852201456
T50,[0.11111111 0.88888889],[0.2192714 0.7807286],110,0.10815126569107357,0.060837307568787816
X_method,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
DyS,[0.11111111 0.88888889],[0.02154326 0.97845674],110,0.08956037775424375,0.050379551386622916
DySsyn,[0.11111111 0.88888889],[4.45523940e-05 9.99955448e-01],110,0.11105729235975348,0.06247200723795841
HDy,[0.11111111 0.88888889],[0.01 0.99],110,0.10110267534345627,0.05687233077296123
SMM,[0.11111111 0.88888889],[0.14710038 0.85289962],110,0.035986269931889386,0.020243015725339528
SORD,[0.11111111 0.88888889],[0.08 0.92],110,0.03110851549029426,0.0174991786993727
HDx,[0.11111111 0.88888889],[0. 1.],110,0.11110184103676507,0.062497066783473845
CC,[0.22222222 0.77777778],[0.1 0.9],10,0.12221202514044166,0.07856721434573509
PCC,[0.22222222 0.77777778],[0.186 0.814],10,0.03621920017798547,0.023284465342463326
EMQ,[0.22222222 0.77777778],[1.45756621e-06 9.99998542e-01],10,0.22220222462892306,0.142848543672015
FM,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
GAC,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
GPAC,[0.22222222 0.77777778],[0.97873503 0.02126497],10,0.7564496924812263,0.4863035782496904
PWK,[0.22222222 0.77777778],[1.],10,0.5,0.3214381492142384
ACC,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
MAX,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
MS,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
MS2,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
PACC,[0.22222222 0.77777778],[0.76251596 0.23748404],10,0.5402486572251115,0.3473130569878347
T50,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
X_method,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
DyS,[0.22222222 0.77777778],[0.64300774 0.35699226],10,0.4207504090560391,0.2704904655362139
DySsyn,[0.22222222 0.77777778],[4.45523940e-05 9.99955448e-01],10,0.2221591333965186,0.1428208413400321
HDy,[0.22222222 0.77777778],[0.505 0.495],10,0.28275418543856723,0.18177596409990524
SMM,[0.22222222 0.77777778],[0.76792778 0.23207222],10,0.5456600277131205,0.350791898816591
SORD,[0.22222222 0.77777778],[1. 0.],10,0.7777128872573558,0.4999731822001322
HDx,[0.22222222 0.77777778],[0. 1.],10,0.22220368207353017,0.14284948062860917
CC,[0.22222222 0.77777778],[0.1 0.9],30,0.12221202514044166,0.07856721434573509
PCC,[0.22222222 0.77777778],[0.15333333 0.84666667],30,0.06888314144279432,0.044283338994868825
EMQ,[0.22222222 0.77777778],[0.10162021 0.89837979],30,0.1205919498778564,0.07752570635774873
